financial_year,council_area,sector,main_client_group,percentage_occupancy
2009/10,Midlothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,89
2009/10,Moray,All Sectors,All Adults,88
2009/10,Moray,All Sectors,Learning Disabilities,66
2009/10,Moray,All Sectors,Mental Health Problems,85
2009/10,Moray,All Sectors,Older People Aged 65 and Older,90
2009/10,Moray,All Sectors,Other Groups,0
2009/10,Moray,Local Authority/Health Board Sectors,All Adults,100
2009/10,Moray,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2009/10,Moray,Private Sector,All Adults,90
2009/10,Moray,Private Sector,Older People Aged 65 and Older,90
2009/10,Moray,Voluntary or Not for Profit Sector,All Adults,79
2009/10,Moray,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,91
2009/10,Na h-Eileanan Siar,All Sectors,All Adults,88
2009/10,Na h-Eileanan Siar,All Sectors,Learning Disabilities,73
2009/10,Na h-Eileanan Siar,All Sectors,Mental Health Problems,0
2009/10,Na h-Eileanan Siar,All Sectors,Older People Aged 65 and Older,88
2009/10,Na h-Eileanan Siar,All Sectors,Other Groups,0
2009/10,Na h-Eileanan Siar,All Sectors,Physical and Sensory Impairment,0
2009/10,Na h-Eileanan Siar,Local Authority/Health Board Sectors,All Adults,83
2009/10,Na h-Eileanan Siar,Local Authority/Health Board Sectors,Older People Aged 65 and Older,84
2009/10,Na h-Eileanan Siar,Private Sector,All Adults,95
2009/10,Na h-Eileanan Siar,Private Sector,Older People Aged 65 and Older,95
2009/10,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,All Adults,97
2009/10,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,97
2009/10,North Ayrshire,All Sectors,All Adults,85
2009/10,North Ayrshire,All Sectors,Learning Disabilities,71
2009/10,North Ayrshire,All Sectors,Older People Aged 65 and Older,86
2009/10,North Ayrshire,All Sectors,Physical and Sensory Impairment,94
2009/10,North Ayrshire,Local Authority/Health Board Sectors,All Adults,74
2009/10,North Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,74
2009/10,North Ayrshire,Private Sector,All Adults,85
2009/10,North Ayrshire,Private Sector,Older People Aged 65 and Older,86
2009/10,North Ayrshire,Voluntary or Not for Profit Sector,All Adults,91
2009/10,North Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,91
2009/10,North Lanarkshire,All Sectors,All Adults,85
2009/10,North Lanarkshire,All Sectors,Learning Disabilities,86
2009/10,North Lanarkshire,All Sectors,Mental Health Problems,100
2009/10,North Lanarkshire,All Sectors,Older People Aged 65 and Older,85
2009/10,North Lanarkshire,All Sectors,Other Groups,0
2009/10,North Lanarkshire,All Sectors,Physical and Sensory Impairment,0
2009/10,North Lanarkshire,Local Authority/Health Board Sectors,All Adults,84
2009/10,North Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,84
2009/10,North Lanarkshire,Private Sector,All Adults,85
2009/10,North Lanarkshire,Private Sector,Older People Aged 65 and Older,85
2009/10,North Lanarkshire,Voluntary or Not for Profit Sector,All Adults,86
2009/10,North Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2009/10,Orkney Islands,All Sectors,All Adults,88
2009/10,Orkney Islands,All Sectors,Learning Disabilities,86
2009/10,Orkney Islands,All Sectors,Mental Health Problems,0
2009/10,Orkney Islands,All Sectors,Older People Aged 65 and Older,89
2009/10,Orkney Islands,All Sectors,Other Groups,0
2009/10,Orkney Islands,All Sectors,Physical and Sensory Impairment,0
2009/10,Orkney Islands,Local Authority/Health Board Sectors,All Adults,90
2009/10,Orkney Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,92
2009/10,Orkney Islands,Private Sector,All Adults,69
2009/10,Orkney Islands,Private Sector,Older People Aged 65 and Older,69
2009/10,Orkney Islands,Voluntary or Not for Profit Sector,All Adults,100
2009/10,Orkney Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2009/10,Perth and Kinross,All Sectors,All Adults,84
2009/10,Perth and Kinross,All Sectors,Learning Disabilities,98
2009/10,Perth and Kinross,All Sectors,Mental Health Problems,0
2009/10,Perth and Kinross,All Sectors,Older People Aged 65 and Older,83
2009/10,Perth and Kinross,All Sectors,Other Groups,0
2009/10,Perth and Kinross,All Sectors,Physical and Sensory Impairment,89
2009/10,Perth and Kinross,Local Authority/Health Board Sectors,All Adults,83
2009/10,Perth and Kinross,Local Authority/Health Board Sectors,Older People Aged 65 and Older,83
2009/10,Perth and Kinross,Private Sector,All Adults,82
2009/10,Perth and Kinross,Private Sector,Older People Aged 65 and Older,82
2009/10,Perth and Kinross,Voluntary or Not for Profit Sector,All Adults,91
2009/10,Perth and Kinross,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,92
2009/10,Renfrewshire,All Sectors,All Adults,87
2009/10,Renfrewshire,All Sectors,Learning Disabilities,80
2009/10,Renfrewshire,All Sectors,Mental Health Problems,90
2009/10,Renfrewshire,All Sectors,Older People Aged 65 and Older,88
2009/10,Renfrewshire,All Sectors,Other Groups,0
2009/10,Renfrewshire,All Sectors,Physical and Sensory Impairment,70
2009/10,Renfrewshire,Local Authority/Health Board Sectors,All Adults,93
2009/10,Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,93
2009/10,Renfrewshire,Private Sector,All Adults,84
2009/10,Renfrewshire,Private Sector,Older People Aged 65 and Older,85
2009/10,Renfrewshire,Voluntary or Not for Profit Sector,All Adults,93
2009/10,Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,96
2009/10,Scotland,All Sectors,All Adults,87
2009/10,Scotland,All Sectors,Learning Disabilities,86
2009/10,Scotland,All Sectors,Mental Health Problems,90
2009/10,Scotland,All Sectors,Older People Aged 65 and Older,87
2009/10,Scotland,All Sectors,Other Groups,77
2009/10,Scotland,All Sectors,Physical and Sensory Impairment,88
2009/10,Scotland,Local Authority/Health Board Sectors,All Adults,88
2009/10,Scotland,Local Authority/Health Board Sectors,Learning Disabilities,82
2009/10,Scotland,Local Authority/Health Board Sectors,Mental Health Problems,75
2009/10,Scotland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,88
2009/10,Scotland,Local Authority/Health Board Sectors,Other Groups,0
2009/10,Scotland,Local Authority/Health Board Sectors,Physical and Sensory Impairment,93
2009/10,Scotland,Private Sector,All Adults,86
2009/10,Scotland,Private Sector,Learning Disabilities,84
2009/10,Scotland,Private Sector,Mental Health Problems,95
2009/10,Scotland,Private Sector,Older People Aged 65 and Older,86
2009/10,Scotland,Private Sector,Other Groups,71
2009/10,Scotland,Private Sector,Physical and Sensory Impairment,81
2009/10,Scotland,Voluntary or Not for Profit Sector,All Adults,90
2009/10,Scotland,Voluntary or Not for Profit Sector,Learning Disabilities,89
2009/10,Scotland,Voluntary or Not for Profit Sector,Mental Health Problems,88
2009/10,Scotland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,92
2009/10,Scotland,Voluntary or Not for Profit Sector,Other Groups,81
2009/10,Scotland,Voluntary or Not for Profit Sector,Physical and Sensory Impairment,89
2009/10,Scottish Borders,All Sectors,All Adults,85
2009/10,Scottish Borders,All Sectors,Learning Disabilities,89
2009/10,Scottish Borders,All Sectors,Mental Health Problems,0
2009/10,Scottish Borders,All Sectors,Older People Aged 65 and Older,84
2009/10,Scottish Borders,All Sectors,Other Groups,0
2009/10,Scottish Borders,All Sectors,Physical and Sensory Impairment,0
2009/10,Scottish Borders,Local Authority/Health Board Sectors,All Adults,95
2009/10,Scottish Borders,Local Authority/Health Board Sectors,Older People Aged 65 and Older,95
2009/10,Scottish Borders,Private Sector,All Adults,82
2009/10,Scottish Borders,Private Sector,Older People Aged 65 and Older,81
2009/10,Scottish Borders,Voluntary or Not for Profit Sector,All Adults,82
2009/10,Scottish Borders,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,72
2009/10,Shetland Islands,All Sectors,All Adults,95
2009/10,Shetland Islands,All Sectors,Learning Disabilities,0
2009/10,Shetland Islands,All Sectors,Mental Health Problems,0
2009/10,Shetland Islands,All Sectors,Older People Aged 65 and Older,95
2009/10,Shetland Islands,All Sectors,Other Groups,0
2009/10,Shetland Islands,All Sectors,Physical and Sensory Impairment,0
2009/10,Shetland Islands,Local Authority/Health Board Sectors,All Adults,94
2009/10,Shetland Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,94
2009/10,Shetland Islands,Private Sector,All Adults,0
2009/10,Shetland Islands,Private Sector,Older People Aged 65 and Older,0
2009/10,Shetland Islands,Voluntary or Not for Profit Sector,All Adults,100
2009/10,Shetland Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,100
2009/10,South Ayrshire,All Sectors,All Adults,92
2009/10,South Ayrshire,All Sectors,Learning Disabilities,95
2009/10,South Ayrshire,All Sectors,Mental Health Problems,0
2009/10,South Ayrshire,All Sectors,Older People Aged 65 and Older,91
2009/10,South Ayrshire,All Sectors,Other Groups,0
2009/10,South Ayrshire,All Sectors,Physical and Sensory Impairment,0
2009/10,South Ayrshire,Local Authority/Health Board Sectors,All Adults,93
2009/10,South Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,96
2009/10,South Ayrshire,Private Sector,All Adults,92
2009/10,South Ayrshire,Private Sector,Older People Aged 65 and Older,92
2009/10,South Ayrshire,Voluntary or Not for Profit Sector,All Adults,92
2009/10,South Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,87
2009/10,South Lanarkshire,All Sectors,All Adults,84
2009/10,South Lanarkshire,All Sectors,Learning Disabilities,82
2009/10,South Lanarkshire,All Sectors,Older People Aged 65 and Older,85
2009/10,South Lanarkshire,All Sectors,Other Groups,100
2009/10,South Lanarkshire,All Sectors,Physical and Sensory Impairment,56
2009/10,South Lanarkshire,Local Authority/Health Board Sectors,All Adults,93
2009/10,South Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,93
2009/10,South Lanarkshire,Private Sector,All Adults,82
2009/10,South Lanarkshire,Private Sector,Older People Aged 65 and Older,82
2009/10,South Lanarkshire,Voluntary or Not for Profit Sector,All Adults,88
2009/10,South Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,91
2009/10,Stirling,All Sectors,All Adults,91
2009/10,Stirling,All Sectors,Learning Disabilities,88
2009/10,Stirling,All Sectors,Mental Health Problems,98
2009/10,Stirling,All Sectors,Older People Aged 65 and Older,90
2009/10,Stirling,All Sectors,Other Groups,0
2009/10,Stirling,All Sectors,Physical and Sensory Impairment,88
2009/10,Stirling,Local Authority/Health Board Sectors,All Adults,94
2009/10,Stirling,Local Authority/Health Board Sectors,Older People Aged 65 and Older,94
2009/10,Stirling,Private Sector,All Adults,90
2009/10,Stirling,Private Sector,Older People Aged 65 and Older,90
2009/10,Stirling,Voluntary or Not for Profit Sector,All Adults,93
2009/10,Stirling,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,87
2009/10,West Dunbartonshire,All Sectors,All Adults,93
2009/10,West Dunbartonshire,All Sectors,Learning Disabilities,90
2009/10,West Dunbartonshire,All Sectors,Mental Health Problems,0
2009/10,West Dunbartonshire,All Sectors,Older People Aged 65 and Older,93
2009/10,West Dunbartonshire,All Sectors,Other Groups,0
2009/10,West Dunbartonshire,All Sectors,Physical and Sensory Impairment,0
2009/10,West Dunbartonshire,Local Authority/Health Board Sectors,All Adults,96
2009/10,West Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,96
2009/10,West Dunbartonshire,Private Sector,All Adults,91
2009/10,West Dunbartonshire,Private Sector,Older People Aged 65 and Older,91
2009/10,West Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,90
2009/10,West Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2009/10,West Lothian,All Sectors,All Adults,91
2009/10,West Lothian,All Sectors,Learning Disabilities,92
2009/10,West Lothian,All Sectors,Mental Health Problems,0
2009/10,West Lothian,All Sectors,Older People Aged 65 and Older,91
2009/10,West Lothian,All Sectors,Other Groups,0
2009/10,West Lothian,All Sectors,Physical and Sensory Impairment,83
2009/10,West Lothian,Local Authority/Health Board Sectors,All Adults,90
2009/10,West Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,86
2009/10,West Lothian,Private Sector,All Adults,91
2009/10,West Lothian,Private Sector,Older People Aged 65 and Older,91
2009/10,West Lothian,Voluntary or Not for Profit Sector,All Adults,96
2009/10,West Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,100
2010/11,Aberdeen City,All Sectors,All Adults,91
2010/11,Aberdeen City,All Sectors,Learning Disabilities,95
2010/11,Aberdeen City,All Sectors,Mental Health Problems,97
2010/11,Aberdeen City,All Sectors,Older People Aged 65 and Older,91
2010/11,Aberdeen City,All Sectors,Other Groups,84
2010/11,Aberdeen City,All Sectors,Physical and Sensory Impairment,89
2010/11,Aberdeen City,Local Authority/Health Board Sectors,All Adults,93
2010/11,Aberdeen City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,92
2010/11,Aberdeen City,Private Sector,All Adults,90
2010/11,Aberdeen City,Private Sector,Older People Aged 65 and Older,90
2010/11,Aberdeen City,Voluntary or Not for Profit Sector,All Adults,95
2010/11,Aberdeen City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,91
2010/11,Aberdeenshire,All Sectors,All Adults,89
2010/11,Aberdeenshire,All Sectors,Learning Disabilities,90
2010/11,Aberdeenshire,All Sectors,Mental Health Problems,92
2010/11,Aberdeenshire,All Sectors,Older People Aged 65 and Older,89
2010/11,Aberdeenshire,All Sectors,Other Groups,0
2010/11,Aberdeenshire,All Sectors,Physical and Sensory Impairment,0
2010/11,Aberdeenshire,Local Authority/Health Board Sectors,All Adults,85
2010/11,Aberdeenshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,86
2010/11,Aberdeenshire,Private Sector,All Adults,89
2010/11,Aberdeenshire,Private Sector,Older People Aged 65 and Older,89
2010/11,Aberdeenshire,Voluntary or Not for Profit Sector,All Adults,93
2010/11,Aberdeenshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,93
2010/11,Angus,All Sectors,All Adults,92
2010/11,Angus,All Sectors,Learning Disabilities,84
