date,council_area_2019,main_client_group,sector,percentage_occupancy,council_area,financial_year
2010-03-31,S12000017,All Adults,Local Authority/Health Board Sectors,87,Highland,2009/10
2010-03-31,S12000017,All Adults,Private Sector,89,Highland,2009/10
2010-03-31,S12000017,All Adults,Voluntary or Not for Profit Sector,85,Highland,2009/10
2010-03-31,S12000018,All Adults,All Sectors,89,Inverclyde,2009/10
2010-03-31,S12000018,All Adults,Private Sector,87,Inverclyde,2009/10
2010-03-31,S12000018,All Adults,Voluntary or Not for Profit Sector,92,Inverclyde,2009/10
2010-03-31,S12000019,All Adults,All Sectors,89,Midlothian,2009/10
2010-03-31,S12000019,All Adults,Local Authority/Health Board Sectors,94,Midlothian,2009/10
2010-03-31,S12000019,All Adults,Private Sector,87,Midlothian,2009/10
2010-03-31,S12000019,All Adults,Voluntary or Not for Profit Sector,88,Midlothian,2009/10
2010-03-31,S12000020,All Adults,All Sectors,88,Moray,2009/10
2010-03-31,S12000020,All Adults,Local Authority/Health Board Sectors,100,Moray,2009/10
2010-03-31,S12000020,All Adults,Private Sector,90,Moray,2009/10
2010-03-31,S12000020,All Adults,Voluntary or Not for Profit Sector,79,Moray,2009/10
2010-03-31,S12000021,All Adults,All Sectors,85,North Ayrshire,2009/10
2010-03-31,S12000021,All Adults,Local Authority/Health Board Sectors,74,North Ayrshire,2009/10
2010-03-31,S12000021,All Adults,Private Sector,85,North Ayrshire,2009/10
2010-03-31,S12000021,All Adults,Voluntary or Not for Profit Sector,91,North Ayrshire,2009/10
2010-03-31,S12000023,All Adults,All Sectors,88,Orkney Islands,2009/10
2010-03-31,S12000023,All Adults,Local Authority/Health Board Sectors,90,Orkney Islands,2009/10
2010-03-31,S12000023,All Adults,Private Sector,69,Orkney Islands,2009/10
2010-03-31,S12000023,All Adults,Voluntary or Not for Profit Sector,100,Orkney Islands,2009/10
2010-03-31,S12000026,All Adults,All Sectors,85,Scottish Borders,2009/10
2010-03-31,S12000026,All Adults,Local Authority/Health Board Sectors,95,Scottish Borders,2009/10
2010-03-31,S12000026,All Adults,Private Sector,82,Scottish Borders,2009/10
2010-03-31,S12000026,All Adults,Voluntary or Not for Profit Sector,82,Scottish Borders,2009/10
2010-03-31,S12000027,All Adults,All Sectors,95,Shetland Islands,2009/10
2010-03-31,S12000027,All Adults,Local Authority/Health Board Sectors,94,Shetland Islands,2009/10
2010-03-31,S12000027,All Adults,Private Sector,0,Shetland Islands,2009/10
2010-03-31,S12000027,All Adults,Voluntary or Not for Profit Sector,100,Shetland Islands,2009/10
2010-03-31,S12000028,All Adults,All Sectors,92,South Ayrshire,2009/10
2010-03-31,S12000028,All Adults,Local Authority/Health Board Sectors,93,South Ayrshire,2009/10
2010-03-31,S12000028,All Adults,Private Sector,92,South Ayrshire,2009/10
2010-03-31,S12000028,All Adults,Voluntary or Not for Profit Sector,92,South Ayrshire,2009/10
2010-03-31,S12000029,All Adults,All Sectors,84,South Lanarkshire,2009/10
2010-03-31,S12000029,All Adults,Local Authority/Health Board Sectors,93,South Lanarkshire,2009/10
2010-03-31,S12000029,All Adults,Private Sector,82,South Lanarkshire,2009/10
2010-03-31,S12000029,All Adults,Voluntary or Not for Profit Sector,88,South Lanarkshire,2009/10
2010-03-31,S12000030,All Adults,All Sectors,91,Stirling,2009/10
2010-03-31,S12000030,All Adults,Local Authority/Health Board Sectors,94,Stirling,2009/10
2010-03-31,S12000030,All Adults,Private Sector,90,Stirling,2009/10
2010-03-31,S12000030,All Adults,Voluntary or Not for Profit Sector,93,Stirling,2009/10
2010-03-31,S12000033,All Adults,All Sectors,87,Aberdeen City,2009/10
2010-03-31,S12000033,All Adults,Local Authority/Health Board Sectors,76,Aberdeen City,2009/10
2010-03-31,S12000033,All Adults,Private Sector,86,Aberdeen City,2009/10
2010-03-31,S12000033,All Adults,Voluntary or Not for Profit Sector,92,Aberdeen City,2009/10
2010-03-31,S12000034,All Adults,All Sectors,88,Aberdeenshire,2009/10
2010-03-31,S12000034,All Adults,Local Authority/Health Board Sectors,82,Aberdeenshire,2009/10
2010-03-31,S12000034,All Adults,Private Sector,88,Aberdeenshire,2009/10
2010-03-31,S12000034,All Adults,Voluntary or Not for Profit Sector,93,Aberdeenshire,2009/10
2010-03-31,S12000035,All Adults,All Sectors,84,Argyll and Bute,2009/10
2010-03-31,S12000035,All Adults,Local Authority/Health Board Sectors,80,Argyll and Bute,2009/10
2010-03-31,S12000035,All Adults,Private Sector,85,Argyll and Bute,2009/10
2010-03-31,S12000035,All Adults,Voluntary or Not for Profit Sector,85,Argyll and Bute,2009/10
2010-03-31,S12000036,All Adults,All Sectors,90,City of Edinburgh,2009/10
2010-03-31,S12000036,All Adults,Local Authority/Health Board Sectors,87,City of Edinburgh,2009/10
2010-03-31,S12000036,All Adults,Private Sector,89,City of Edinburgh,2009/10
2010-03-31,S12000036,All Adults,Voluntary or Not for Profit Sector,93,City of Edinburgh,2009/10
2010-03-31,S12000038,All Adults,All Sectors,87,Renfrewshire,2009/10
2010-03-31,S12000038,All Adults,Local Authority/Health Board Sectors,93,Renfrewshire,2009/10
2010-03-31,S12000038,All Adults,Private Sector,84,Renfrewshire,2009/10
2010-03-31,S12000038,All Adults,Voluntary or Not for Profit Sector,93,Renfrewshire,2009/10
2010-03-31,S12000039,All Adults,All Sectors,93,West Dunbartonshire,2009/10
2010-03-31,S12000039,All Adults,Local Authority/Health Board Sectors,96,West Dunbartonshire,2009/10
2010-03-31,S12000039,All Adults,Private Sector,91,West Dunbartonshire,2009/10
2010-03-31,S12000039,All Adults,Voluntary or Not for Profit Sector,90,West Dunbartonshire,2009/10
2010-03-31,S12000040,All Adults,All Sectors,91,West Lothian,2009/10
2010-03-31,S12000040,All Adults,Local Authority/Health Board Sectors,90,West Lothian,2009/10
2010-03-31,S12000040,All Adults,Private Sector,91,West Lothian,2009/10
2010-03-31,S12000040,All Adults,Voluntary or Not for Profit Sector,96,West Lothian,2009/10
2010-03-31,S12000041,All Adults,All Sectors,88,Angus,2009/10
2010-03-31,S12000041,All Adults,Local Authority/Health Board Sectors,90,Angus,2009/10
2010-03-31,S12000041,All Adults,Private Sector,88,Angus,2009/10
2010-03-31,S12000041,All Adults,Voluntary or Not for Profit Sector,98,Angus,2009/10
2010-03-31,S12000042,All Adults,All Sectors,87,Dundee City,2009/10
2010-03-31,S12000042,All Adults,Local Authority/Health Board Sectors,94,Dundee City,2009/10
2010-03-31,S12000042,All Adults,Private Sector,85,Dundee City,2009/10
2010-03-31,S12000042,All Adults,Voluntary or Not for Profit Sector,98,Dundee City,2009/10
2010-03-31,S12000045,All Adults,All Sectors,73,East Dunbartonshire,2009/10
2010-03-31,S12000045,All Adults,Local Authority/Health Board Sectors,100,East Dunbartonshire,2009/10
2010-03-31,S12000045,All Adults,Private Sector,72,East Dunbartonshire,2009/10
2010-03-31,S12000045,All Adults,Voluntary or Not for Profit Sector,92,East Dunbartonshire,2009/10
2010-03-31,S12000047,All Adults,All Sectors,84,Fife,2009/10
2010-03-31,S12000047,All Adults,Local Authority/Health Board Sectors,85,Fife,2009/10
2010-03-31,S12000047,All Adults,Private Sector,84,Fife,2009/10
2010-03-31,S12000047,All Adults,Voluntary or Not for Profit Sector,94,Fife,2009/10
2010-03-31,S12000048,All Adults,All Sectors,84,Perth and Kinross,2009/10
2010-03-31,S12000048,All Adults,Local Authority/Health Board Sectors,83,Perth and Kinross,2009/10
2010-03-31,S12000048,All Adults,Private Sector,82,Perth and Kinross,2009/10
2010-03-31,S12000048,All Adults,Voluntary or Not for Profit Sector,91,Perth and Kinross,2009/10
2010-03-31,S12000049,All Adults,All Sectors,87,Glasgow City,2009/10
2010-03-31,S12000049,All Adults,Local Authority/Health Board Sectors,89,Glasgow City,2009/10
2010-03-31,S12000049,All Adults,Private Sector,85,Glasgow City,2009/10
2010-03-31,S12000049,All Adults,Voluntary or Not for Profit Sector,91,Glasgow City,2009/10
2010-03-31,S12000050,All Adults,All Sectors,85,North Lanarkshire,2009/10
2010-03-31,S12000050,All Adults,Local Authority/Health Board Sectors,84,North Lanarkshire,2009/10
2010-03-31,S12000050,All Adults,Private Sector,85,North Lanarkshire,2009/10
2010-03-31,S12000050,All Adults,Voluntary or Not for Profit Sector,86,North Lanarkshire,2009/10
2010-03-31,S92000003,All Adults,All Sectors,87,Scotland,2009/10
2010-03-31,S92000003,All Adults,Local Authority/Health Board Sectors,88,Scotland,2009/10
2010-03-31,S92000003,All Adults,Private Sector,86,Scotland,2009/10
2010-03-31,S92000003,All Adults,Voluntary or Not for Profit Sector,90,Scotland,2009/10
2010-03-31,S12000005,Learning Disabilities,All Sectors,91,Clackmannanshire,2009/10
2010-03-31,S12000006,Learning Disabilities,All Sectors,83,Dumfries and Galloway,2009/10
2010-03-31,S12000008,Learning Disabilities,All Sectors,77,East Ayrshire,2009/10
2010-03-31,S12000010,Learning Disabilities,All Sectors,64,East Lothian,2009/10
2010-03-31,S12000011,Learning Disabilities,All Sectors,100,East Renfrewshire,2009/10
2010-03-31,S12000013,Learning Disabilities,All Sectors,73,Na h-Eileanan Siar,2009/10
2010-03-31,S12000014,Learning Disabilities,All Sectors,92,Falkirk,2009/10
2010-03-31,S12000017,Learning Disabilities,All Sectors,85,Highland,2009/10
2010-03-31,S12000018,Learning Disabilities,All Sectors,87,Inverclyde,2009/10
2010-03-31,S12000019,Learning Disabilities,All Sectors,88,Midlothian,2009/10
2010-03-31,S12000020,Learning Disabilities,All Sectors,66,Moray,2009/10
2010-03-31,S12000021,Learning Disabilities,All Sectors,71,North Ayrshire,2009/10
2010-03-31,S12000023,Learning Disabilities,All Sectors,86,Orkney Islands,2009/10
2010-03-31,S12000026,Learning Disabilities,All Sectors,89,Scottish Borders,2009/10
2010-03-31,S12000027,Learning Disabilities,All Sectors,0,Shetland Islands,2009/10
2010-03-31,S12000028,Learning Disabilities,All Sectors,95,South Ayrshire,2009/10
2010-03-31,S12000029,Learning Disabilities,All Sectors,82,South Lanarkshire,2009/10
2010-03-31,S12000030,Learning Disabilities,All Sectors,88,Stirling,2009/10
2010-03-31,S12000033,Learning Disabilities,All Sectors,91,Aberdeen City,2009/10
2010-03-31,S12000034,Learning Disabilities,All Sectors,88,Aberdeenshire,2009/10
2010-03-31,S12000035,Learning Disabilities,All Sectors,68,Argyll and Bute,2009/10
2010-03-31,S12000036,Learning Disabilities,All Sectors,92,City of Edinburgh,2009/10
2010-03-31,S12000038,Learning Disabilities,All Sectors,80,Renfrewshire,2009/10
2010-03-31,S12000039,Learning Disabilities,All Sectors,90,West Dunbartonshire,2009/10
2010-03-31,S12000040,Learning Disabilities,All Sectors,92,West Lothian,2009/10
2010-03-31,S12000041,Learning Disabilities,All Sectors,82,Angus,2009/10
2010-03-31,S12000042,Learning Disabilities,All Sectors,83,Dundee City,2009/10
2010-03-31,S12000045,Learning Disabilities,All Sectors,94,East Dunbartonshire,2009/10
2010-03-31,S12000047,Learning Disabilities,All Sectors,79,Fife,2009/10
2010-03-31,S12000048,Learning Disabilities,All Sectors,98,Perth and Kinross,2009/10
2010-03-31,S12000049,Learning Disabilities,All Sectors,82,Glasgow City,2009/10
2010-03-31,S12000050,Learning Disabilities,All Sectors,86,North Lanarkshire,2009/10
2010-03-31,S92000003,Learning Disabilities,All Sectors,86,Scotland,2009/10
2010-03-31,S92000003,Learning Disabilities,Local Authority/Health Board Sectors,82,Scotland,2009/10
2010-03-31,S92000003,Learning Disabilities,Private Sector,84,Scotland,2009/10
2010-03-31,S92000003,Learning Disabilities,Voluntary or Not for Profit Sector,89,Scotland,2009/10
2010-03-31,S12000005,Mental Health Problems,All Sectors,100,Clackmannanshire,2009/10
2010-03-31,S12000006,Mental Health Problems,All Sectors,62,Dumfries and Galloway,2009/10
2010-03-31,S12000008,Mental Health Problems,All Sectors,100,East Ayrshire,2009/10
2010-03-31,S12000010,Mental Health Problems,All Sectors,0,East Lothian,2009/10
2010-03-31,S12000011,Mental Health Problems,All Sectors,0,East Renfrewshire,2009/10
2010-03-31,S12000013,Mental Health Problems,All Sectors,0,Na h-Eileanan Siar,2009/10
2010-03-31,S12000014,Mental Health Problems,All Sectors,94,Falkirk,2009/10
2010-03-31,S12000017,Mental Health Problems,All Sectors,88,Highland,2009/10
2010-03-31,S12000018,Mental Health Problems,All Sectors,100,Inverclyde,2009/10
2010-03-31,S12000019,Mental Health Problems,All Sectors,0,Midlothian,2009/10
2010-03-31,S12000020,Mental Health Problems,All Sectors,85,Moray,2009/10
2010-03-31,S12000023,Mental Health Problems,All Sectors,0,Orkney Islands,2009/10
2010-03-31,S12000026,Mental Health Problems,All Sectors,0,Scottish Borders,2009/10
2010-03-31,S12000027,Mental Health Problems,All Sectors,0,Shetland Islands,2009/10
2010-03-31,S12000028,Mental Health Problems,All Sectors,0,South Ayrshire,2009/10
2010-03-31,S12000030,Mental Health Problems,All Sectors,98,Stirling,2009/10
2010-03-31,S12000033,Mental Health Problems,All Sectors,95,Aberdeen City,2009/10
2010-03-31,S12000034,Mental Health Problems,All Sectors,100,Aberdeenshire,2009/10
2010-03-31,S12000035,Mental Health Problems,All Sectors,0,Argyll and Bute,2009/10
2010-03-31,S12000036,Mental Health Problems,All Sectors,82,City of Edinburgh,2009/10
2010-03-31,S12000038,Mental Health Problems,All Sectors,90,Renfrewshire,2009/10
2010-03-31,S12000039,Mental Health Problems,All Sectors,0,West Dunbartonshire,2009/10
2010-03-31,S12000040,Mental Health Problems,All Sectors,0,West Lothian,2009/10
2010-03-31,S12000041,Mental Health Problems,All Sectors,0,Angus,2009/10
2010-03-31,S12000042,Mental Health Problems,All Sectors,0,Dundee City,2009/10
2010-03-31,S12000045,Mental Health Problems,All Sectors,96,East Dunbartonshire,2009/10
2010-03-31,S12000047,Mental Health Problems,All Sectors,96,Fife,2009/10
2010-03-31,S12000048,Mental Health Problems,All Sectors,0,Perth and Kinross,2009/10
2010-03-31,S12000049,Mental Health Problems,All Sectors,90,Glasgow City,2009/10
2010-03-31,S12000050,Mental Health Problems,All Sectors,100,North Lanarkshire,2009/10
2010-03-31,S92000003,Mental Health Problems,All Sectors,90,Scotland,2009/10
2010-03-31,S92000003,Mental Health Problems,Local Authority/Health Board Sectors,75,Scotland,2009/10
2010-03-31,S92000003,Mental Health Problems,Private Sector,95,Scotland,2009/10
2010-03-31,S92000003,Mental Health Problems,Voluntary or Not for Profit Sector,88,Scotland,2009/10
2010-03-31,S12000005,Older People Aged 65 and Older,All Sectors,90,Clackmannanshire,2009/10
2010-03-31,S12000005,Older People Aged 65 and Older,Local Authority/Health Board Sectors,92,Clackmannanshire,2009/10
2010-03-31,S12000005,Older People Aged 65 and Older,Private Sector,89,Clackmannanshire,2009/10
2010-03-31,S12000005,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,Clackmannanshire,2009/10
2010-03-31,S12000006,Older People Aged 65 and Older,All Sectors,84,Dumfries and Galloway,2009/10
2010-03-31,S12000006,Older People Aged 65 and Older,Local Authority/Health Board Sectors,0,Dumfries and Galloway,2009/10
2010-03-31,S12000006,Older People Aged 65 and Older,Private Sector,83,Dumfries and Galloway,2009/10
2010-03-31,S12000006,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,87,Dumfries and Galloway,2009/10
2010-03-31,S12000008,Older People Aged 65 and Older,All Sectors,86,East Ayrshire,2009/10
2010-03-31,S12000008,Older People Aged 65 and Older,Private Sector,86,East Ayrshire,2009/10
2010-03-31,S12000008,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,East Ayrshire,2009/10
2010-03-31,S12000010,Older People Aged 65 and Older,All Sectors,89,East Lothian,2009/10
2010-03-31,S12000010,Older People Aged 65 and Older,Local Authority/Health Board Sectors,83,East Lothian,2009/10
2010-03-31,S12000010,Older People Aged 65 and Older,Private Sector,90,East Lothian,2009/10
2010-03-31,S12000010,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,100,East Lothian,2009/10
2010-03-31,S12000011,Older People Aged 65 and Older,All Sectors,83,East Renfrewshire,2009/10
2010-03-31,S12000011,Older People Aged 65 and Older,Local Authority/Health Board Sectors,100,East Renfrewshire,2009/10
2010-03-31,S12000011,Older People Aged 65 and Older,Private Sector,78,East Renfrewshire,2009/10
2010-03-31,S12000011,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,89,East Renfrewshire,2009/10
2010-03-31,S12000013,Older People Aged 65 and Older,All Sectors,88,Na h-Eileanan Siar,2009/10
2010-03-31,S12000013,Older People Aged 65 and Older,Local Authority/Health Board Sectors,84,Na h-Eileanan Siar,2009/10
2010-03-31,S12000013,Older People Aged 65 and Older,Private Sector,95,Na h-Eileanan Siar,2009/10
2010-03-31,S12000013,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,97,Na h-Eileanan Siar,2009/10
2010-03-31,S12000014,Older People Aged 65 and Older,All Sectors,84,Falkirk,2009/10
2010-03-31,S12000014,Older People Aged 65 and Older,Local Authority/Health Board Sectors,83,Falkirk,2009/10
2010-03-31,S12000014,Older People Aged 65 and Older,Private Sector,84,Falkirk,2009/10
2010-03-31,S12000014,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,92,Falkirk,2009/10
2010-03-31,S12000017,Older People Aged 65 and Older,All Sectors,90,Highland,2009/10
2010-03-31,S12000017,Older People Aged 65 and Older,Local Authority/Health Board Sectors,87,Highland,2009/10
2010-03-31,S12000017,Older People Aged 65 and Older,Private Sector,90,Highland,2009/10
2010-03-31,S12000017,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,93,Highland,2009/10
2010-03-31,S12000018,Older People Aged 65 and Older,All Sectors,89,Inverclyde,2009/10
2010-03-31,S12000018,Older People Aged 65 and Older,Private Sector,87,Inverclyde,2009/10
2010-03-31,S12000018,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,92,Inverclyde,2009/10
2010-03-31,S12000019,Older People Aged 65 and Older,All Sectors,89,Midlothian,2009/10
2010-03-31,S12000019,Older People Aged 65 and Older,Local Authority/Health Board Sectors,94,Midlothian,2009/10
2010-03-31,S12000019,Older People Aged 65 and Older,Private Sector,87,Midlothian,2009/10
2010-03-31,S12000019,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,89,Midlothian,2009/10
2010-03-31,S12000020,Older People Aged 65 and Older,All Sectors,90,Moray,2009/10
2010-03-31,S12000020,Older People Aged 65 and Older,Local Authority/Health Board Sectors,0,Moray,2009/10
2010-03-31,S12000020,Older People Aged 65 and Older,Private Sector,90,Moray,2009/10
2010-03-31,S12000020,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,91,Moray,2009/10
2010-03-31,S12000021,Older People Aged 65 and Older,All Sectors,86,North Ayrshire,2009/10
2010-03-31,S12000021,Older People Aged 65 and Older,Local Authority/Health Board Sectors,74,North Ayrshire,2009/10
2010-03-31,S12000021,Older People Aged 65 and Older,Private Sector,86,North Ayrshire,2009/10
2010-03-31,S12000021,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,91,North Ayrshire,2009/10
2010-03-31,S12000023,Older People Aged 65 and Older,All Sectors,89,Orkney Islands,2009/10
2010-03-31,S12000023,Older People Aged 65 and Older,Local Authority/Health Board Sectors,92,Orkney Islands,2009/10
2010-03-31,S12000023,Older People Aged 65 and Older,Private Sector,69,Orkney Islands,2009/10
2010-03-31,S12000023,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,Orkney Islands,2009/10
2010-03-31,S12000026,Older People Aged 65 and Older,All Sectors,84,Scottish Borders,2009/10
2010-03-31,S12000026,Older People Aged 65 and Older,Local Authority/Health Board Sectors,95,Scottish Borders,2009/10
2010-03-31,S12000026,Older People Aged 65 and Older,Private Sector,81,Scottish Borders,2009/10
2010-03-31,S12000026,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,72,Scottish Borders,2009/10
2010-03-31,S12000027,Older People Aged 65 and Older,All Sectors,95,Shetland Islands,2009/10
2010-03-31,S12000027,Older People Aged 65 and Older,Local Authority/Health Board Sectors,94,Shetland Islands,2009/10
2010-03-31,S12000027,Older People Aged 65 and Older,Private Sector,0,Shetland Islands,2009/10
2010-03-31,S12000027,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,100,Shetland Islands,2009/10
2010-03-31,S12000028,Older People Aged 65 and Older,All Sectors,91,South Ayrshire,2009/10
2010-03-31,S12000028,Older People Aged 65 and Older,Local Authority/Health Board Sectors,96,South Ayrshire,2009/10
2010-03-31,S12000028,Older People Aged 65 and Older,Private Sector,92,South Ayrshire,2009/10
2010-03-31,S12000028,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,87,South Ayrshire,2009/10
2010-03-31,S12000029,Older People Aged 65 and Older,All Sectors,85,South Lanarkshire,2009/10
2010-03-31,S12000029,Older People Aged 65 and Older,Local Authority/Health Board Sectors,93,South Lanarkshire,2009/10
2010-03-31,S12000029,Older People Aged 65 and Older,Private Sector,82,South Lanarkshire,2009/10
2010-03-31,S12000029,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,91,South Lanarkshire,2009/10
2010-03-31,S12000030,Older People Aged 65 and Older,All Sectors,90,Stirling,2009/10
2010-03-31,S12000030,Older People Aged 65 and Older,Local Authority/Health Board Sectors,94,Stirling,2009/10
2010-03-31,S12000030,Older People Aged 65 and Older,Private Sector,90,Stirling,2009/10
2010-03-31,S12000030,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,87,Stirling,2009/10
2010-03-31,S12000033,Older People Aged 65 and Older,All Sectors,85,Aberdeen City,2009/10
2010-03-31,S12000033,Older People Aged 65 and Older,Local Authority/Health Board Sectors,73,Aberdeen City,2009/10
2010-03-31,S12000033,Older People Aged 65 and Older,Private Sector,87,Aberdeen City,2009/10
2010-03-31,S12000033,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,91,Aberdeen City,2009/10
2010-03-31,S12000034,Older People Aged 65 and Older,All Sectors,88,Aberdeenshire,2009/10
2010-03-31,S12000034,Older People Aged 65 and Older,Local Authority/Health Board Sectors,84,Aberdeenshire,2009/10
2010-03-31,S12000034,Older People Aged 65 and Older,Private Sector,88,Aberdeenshire,2009/10
2010-03-31,S12000034,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,95,Aberdeenshire,2009/10
2010-03-31,S12000035,Older People Aged 65 and Older,All Sectors,85,Argyll and Bute,2009/10
2010-03-31,S12000035,Older People Aged 65 and Older,Local Authority/Health Board Sectors,79,Argyll and Bute,2009/10
2010-03-31,S12000035,Older People Aged 65 and Older,Private Sector,86,Argyll and Bute,2009/10
2010-03-31,S12000035,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,91,Argyll and Bute,2009/10
2010-03-31,S12000036,Older People Aged 65 and Older,All Sectors,90,City of Edinburgh,2009/10
2010-03-31,S12000036,Older People Aged 65 and Older,Local Authority/Health Board Sectors,89,City of Edinburgh,2009/10
2010-03-31,S12000036,Older People Aged 65 and Older,Private Sector,89,City of Edinburgh,2009/10
2010-03-31,S12000036,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,92,City of Edinburgh,2009/10
2010-03-31,S12000038,Older People Aged 65 and Older,All Sectors,88,Renfrewshire,2009/10
2010-03-31,S12000038,Older People Aged 65 and Older,Local Authority/Health Board Sectors,93,Renfrewshire,2009/10
2010-03-31,S12000038,Older People Aged 65 and Older,Private Sector,85,Renfrewshire,2009/10
2010-03-31,S12000038,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,96,Renfrewshire,2009/10
2010-03-31,S12000039,Older People Aged 65 and Older,All Sectors,93,West Dunbartonshire,2009/10
2010-03-31,S12000039,Older People Aged 65 and Older,Local Authority/Health Board Sectors,96,West Dunbartonshire,2009/10
2010-03-31,S12000039,Older People Aged 65 and Older,Private Sector,91,West Dunbartonshire,2009/10
2010-03-31,S12000039,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,West Dunbartonshire,2009/10
2010-03-31,S12000040,Older People Aged 65 and Older,All Sectors,91,West Lothian,2009/10
2010-03-31,S12000040,Older People Aged 65 and Older,Local Authority/Health Board Sectors,86,West Lothian,2009/10
2010-03-31,S12000040,Older People Aged 65 and Older,Private Sector,91,West Lothian,2009/10
2010-03-31,S12000040,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,100,West Lothian,2009/10
2010-03-31,S12000041,Older People Aged 65 and Older,All Sectors,89,Angus,2009/10
2010-03-31,S12000041,Older People Aged 65 and Older,Local Authority/Health Board Sectors,95,Angus,2009/10
2010-03-31,S12000041,Older People Aged 65 and Older,Private Sector,88,Angus,2009/10
2010-03-31,S12000041,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,98,Angus,2009/10
2010-03-31,S12000042,Older People Aged 65 and Older,All Sectors,88,Dundee City,2009/10
2010-03-31,S12000042,Older People Aged 65 and Older,Local Authority/Health Board Sectors,94,Dundee City,2009/10
2010-03-31,S12000042,Older People Aged 65 and Older,Private Sector,86,Dundee City,2009/10
2010-03-31,S12000042,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,98,Dundee City,2009/10
2010-03-31,S12000045,Older People Aged 65 and Older,All Sectors,71,East Dunbartonshire,2009/10
2010-03-31,S12000045,Older People Aged 65 and Older,Local Authority/Health Board Sectors,0,East Dunbartonshire,2009/10
