date,council_area_2019,main_client_group,sector,number_of_places,council_area,financial_year
2010-03-31,S12000013,All Adults,Private Sector,40,Na h-Eileanan Siar,2009/10
2010-03-31,S12000013,All Adults,Voluntary or Not for Profit Sector,39,Na h-Eileanan Siar,2009/10
2010-03-31,S12000014,All Adults,All Sectors,1141,Falkirk,2009/10
2010-03-31,S12000014,All Adults,Local Authority/Health Board Sectors,178,Falkirk,2009/10
2010-03-31,S12000014,All Adults,Private Sector,888,Falkirk,2009/10
2010-03-31,S12000014,All Adults,Voluntary or Not for Profit Sector,75,Falkirk,2009/10
2010-03-31,S12000017,All Adults,All Sectors,2224,Highland,2009/10
2010-03-31,S12000017,All Adults,Local Authority/Health Board Sectors,305,Highland,2009/10
2010-03-31,S12000017,All Adults,Private Sector,1648,Highland,2009/10
2010-03-31,S12000017,All Adults,Voluntary or Not for Profit Sector,271,Highland,2009/10
2010-03-31,S12000018,All Adults,All Sectors,904,Inverclyde,2009/10
2010-03-31,S12000018,All Adults,Local Authority/Health Board Sectors,3,Inverclyde,2009/10
2010-03-31,S12000018,All Adults,Private Sector,577,Inverclyde,2009/10
2010-03-31,S12000018,All Adults,Voluntary or Not for Profit Sector,324,Inverclyde,2009/10
2010-03-31,S12000019,All Adults,All Sectors,672,Midlothian,2009/10
2010-03-31,S12000019,All Adults,Local Authority/Health Board Sectors,146,Midlothian,2009/10
2010-03-31,S12000019,All Adults,Private Sector,405,Midlothian,2009/10
2010-03-31,S12000019,All Adults,Voluntary or Not for Profit Sector,121,Midlothian,2009/10
2010-03-31,S12000020,All Adults,All Sectors,641,Moray,2009/10
2010-03-31,S12000020,All Adults,Local Authority/Health Board Sectors,6,Moray,2009/10
2010-03-31,S12000020,All Adults,Private Sector,518,Moray,2009/10
2010-03-31,S12000020,All Adults,Voluntary or Not for Profit Sector,117,Moray,2009/10
2010-03-31,S12000021,All Adults,All Sectors,1295,North Ayrshire,2009/10
2010-03-31,S12000021,All Adults,Local Authority/Health Board Sectors,73,North Ayrshire,2009/10
2010-03-31,S12000021,All Adults,Private Sector,1065,North Ayrshire,2009/10
2010-03-31,S12000021,All Adults,Voluntary or Not for Profit Sector,157,North Ayrshire,2009/10
2010-03-31,S12000023,All Adults,All Sectors,140,Orkney Islands,2009/10
2010-03-31,S12000023,All Adults,Local Authority/Health Board Sectors,119,Orkney Islands,2009/10
2010-03-31,S12000023,All Adults,Private Sector,16,Orkney Islands,2009/10
2010-03-31,S12000023,All Adults,Voluntary or Not for Profit Sector,5,Orkney Islands,2009/10
2010-03-31,S12000026,All Adults,All Sectors,875,Scottish Borders,2009/10
2010-03-31,S12000026,All Adults,Local Authority/Health Board Sectors,203,Scottish Borders,2009/10
2010-03-31,S12000026,All Adults,Private Sector,479,Scottish Borders,2009/10
2010-03-31,S12000026,All Adults,Voluntary or Not for Profit Sector,193,Scottish Borders,2009/10
2010-03-31,S12000027,All Adults,All Sectors,154,Shetland Islands,2009/10
2010-03-31,S12000027,All Adults,Local Authority/Health Board Sectors,138,Shetland Islands,2009/10
2010-03-31,S12000027,All Adults,Private Sector,0,Shetland Islands,2009/10
2010-03-31,S12000027,All Adults,Voluntary or Not for Profit Sector,16,Shetland Islands,2009/10
2010-03-31,S12000028,All Adults,All Sectors,1043,South Ayrshire,2009/10
2010-03-31,S12000028,All Adults,Local Authority/Health Board Sectors,60,South Ayrshire,2009/10
2010-03-31,S12000028,All Adults,Private Sector,829,South Ayrshire,2009/10
2010-03-31,S12000028,All Adults,Voluntary or Not for Profit Sector,154,South Ayrshire,2009/10
2010-03-31,S12000029,All Adults,All Sectors,3077,South Lanarkshire,2009/10
2010-03-31,S12000029,All Adults,Local Authority/Health Board Sectors,326,South Lanarkshire,2009/10
2010-03-31,S12000029,All Adults,Private Sector,2255,South Lanarkshire,2009/10
2010-03-31,S12000029,All Adults,Voluntary or Not for Profit Sector,496,South Lanarkshire,2009/10
2010-03-31,S12000030,All Adults,All Sectors,782,Stirling,2009/10
2010-03-31,S12000030,All Adults,Local Authority/Health Board Sectors,67,Stirling,2009/10
2010-03-31,S12000030,All Adults,Private Sector,588,Stirling,2009/10
2010-03-31,S12000030,All Adults,Voluntary or Not for Profit Sector,127,Stirling,2009/10
2010-03-31,S12000033,All Adults,All Sectors,2178,Aberdeen City,2009/10
2010-03-31,S12000033,All Adults,Local Authority/Health Board Sectors,264,Aberdeen City,2009/10
2010-03-31,S12000033,All Adults,Private Sector,1300,Aberdeen City,2009/10
2010-03-31,S12000033,All Adults,Voluntary or Not for Profit Sector,614,Aberdeen City,2009/10
2010-03-31,S12000034,All Adults,All Sectors,2087,Aberdeenshire,2009/10
2010-03-31,S12000034,All Adults,Local Authority/Health Board Sectors,310,Aberdeenshire,2009/10
2010-03-31,S12000034,All Adults,Private Sector,1459,Aberdeenshire,2009/10
2010-03-31,S12000034,All Adults,Voluntary or Not for Profit Sector,318,Aberdeenshire,2009/10
2010-03-31,S12000035,All Adults,All Sectors,669,Argyll and Bute,2009/10
2010-03-31,S12000035,All Adults,Local Authority/Health Board Sectors,109,Argyll and Bute,2009/10
2010-03-31,S12000035,All Adults,Private Sector,437,Argyll and Bute,2009/10
2010-03-31,S12000035,All Adults,Voluntary or Not for Profit Sector,123,Argyll and Bute,2009/10
2010-03-31,S12000036,All Adults,All Sectors,3467,City of Edinburgh,2009/10
2010-03-31,S12000036,All Adults,Local Authority/Health Board Sectors,607,City of Edinburgh,2009/10
2010-03-31,S12000036,All Adults,Private Sector,1926,City of Edinburgh,2009/10
2010-03-31,S12000036,All Adults,Voluntary or Not for Profit Sector,934,City of Edinburgh,2009/10
2010-03-31,S12000038,All Adults,All Sectors,1536,Renfrewshire,2009/10
2010-03-31,S12000038,All Adults,Local Authority/Health Board Sectors,220,Renfrewshire,2009/10
2010-03-31,S12000038,All Adults,Private Sector,1036,Renfrewshire,2009/10
2010-03-31,S12000038,All Adults,Voluntary or Not for Profit Sector,280,Renfrewshire,2009/10
2010-03-31,S12000039,All Adults,All Sectors,620,West Dunbartonshire,2009/10
2010-03-31,S12000039,All Adults,Local Authority/Health Board Sectors,196,West Dunbartonshire,2009/10
2010-03-31,S12000039,All Adults,Private Sector,414,West Dunbartonshire,2009/10
2010-03-31,S12000039,All Adults,Voluntary or Not for Profit Sector,10,West Dunbartonshire,2009/10
2010-03-31,S12000040,All Adults,All Sectors,973,West Lothian,2009/10
2010-03-31,S12000040,All Adults,Local Authority/Health Board Sectors,154,West Lothian,2009/10
2010-03-31,S12000040,All Adults,Private Sector,742,West Lothian,2009/10
2010-03-31,S12000040,All Adults,Voluntary or Not for Profit Sector,77,West Lothian,2009/10
2010-03-31,S12000041,All Adults,All Sectors,1229,Angus,2009/10
2010-03-31,S12000041,All Adults,Local Authority/Health Board Sectors,147,Angus,2009/10
2010-03-31,S12000041,All Adults,Private Sector,1031,Angus,2009/10
2010-03-31,S12000041,All Adults,Voluntary or Not for Profit Sector,51,Angus,2009/10
2010-03-31,S12000042,All Adults,All Sectors,1251,Dundee City,2009/10
2010-03-31,S12000042,All Adults,Local Authority/Health Board Sectors,157,Dundee City,2009/10
2010-03-31,S12000042,All Adults,Private Sector,1005,Dundee City,2009/10
2010-03-31,S12000042,All Adults,Voluntary or Not for Profit Sector,89,Dundee City,2009/10
2010-03-31,S12000045,All Adults,All Sectors,607,East Dunbartonshire,2009/10
2010-03-31,S12000045,All Adults,Local Authority/Health Board Sectors,11,East Dunbartonshire,2009/10
2010-03-31,S12000045,All Adults,Private Sector,583,East Dunbartonshire,2009/10
2010-03-31,S12000045,All Adults,Voluntary or Not for Profit Sector,13,East Dunbartonshire,2009/10
2010-03-31,S12000047,All Adults,All Sectors,3013,Fife,2009/10
2010-03-31,S12000047,All Adults,Local Authority/Health Board Sectors,368,Fife,2009/10
2010-03-31,S12000047,All Adults,Private Sector,2463,Fife,2009/10
2010-03-31,S12000047,All Adults,Voluntary or Not for Profit Sector,182,Fife,2009/10
2010-03-31,S12000048,All Adults,All Sectors,1761,Perth and Kinross,2009/10
2010-03-31,S12000048,All Adults,Local Authority/Health Board Sectors,124,Perth and Kinross,2009/10
2010-03-31,S12000048,All Adults,Private Sector,1278,Perth and Kinross,2009/10
2010-03-31,S12000048,All Adults,Voluntary or Not for Profit Sector,359,Perth and Kinross,2009/10
2010-03-31,S12000049,All Adults,All Sectors,5009,Glasgow City,2009/10
2010-03-31,S12000049,All Adults,Local Authority/Health Board Sectors,623,Glasgow City,2009/10
2010-03-31,S12000049,All Adults,Private Sector,3350,Glasgow City,2009/10
2010-03-31,S12000049,All Adults,Voluntary or Not for Profit Sector,1036,Glasgow City,2009/10
2010-03-31,S12000050,All Adults,All Sectors,2267,North Lanarkshire,2009/10
2010-03-31,S12000050,All Adults,Local Authority/Health Board Sectors,260,North Lanarkshire,2009/10
2010-03-31,S12000050,All Adults,Private Sector,1958,North Lanarkshire,2009/10
2010-03-31,S12000050,All Adults,Voluntary or Not for Profit Sector,49,North Lanarkshire,2009/10
2010-03-31,S92000003,All Adults,All Sectors,43887,Scotland,2009/10
2010-03-31,S92000003,All Adults,Local Authority/Health Board Sectors,5598,Scotland,2009/10
2010-03-31,S92000003,All Adults,Private Sector,31300,Scotland,2009/10
2010-03-31,S92000003,All Adults,Voluntary or Not for Profit Sector,6989,Scotland,2009/10
2010-03-31,S12000005,Learning Disabilities,All Sectors,74,Clackmannanshire,2009/10
2010-03-31,S12000006,Learning Disabilities,All Sectors,82,Dumfries and Galloway,2009/10
2010-03-31,S12000008,Learning Disabilities,All Sectors,60,East Ayrshire,2009/10
2010-03-31,S12000010,Learning Disabilities,All Sectors,14,East Lothian,2009/10
2010-03-31,S12000011,Learning Disabilities,All Sectors,10,East Renfrewshire,2009/10
2010-03-31,S12000013,Learning Disabilities,All Sectors,11,Na h-Eileanan Siar,2009/10
2010-03-31,S12000014,Learning Disabilities,All Sectors,106,Falkirk,2009/10
2010-03-31,S12000017,Learning Disabilities,All Sectors,112,Highland,2009/10
2010-03-31,S12000018,Learning Disabilities,All Sectors,38,Inverclyde,2009/10
2010-03-31,S12000019,Learning Disabilities,All Sectors,83,Midlothian,2009/10
2010-03-31,S12000020,Learning Disabilities,All Sectors,47,Moray,2009/10
2010-03-31,S12000021,Learning Disabilities,All Sectors,101,North Ayrshire,2009/10
2010-03-31,S12000023,Learning Disabilities,All Sectors,7,Orkney Islands,2009/10
2010-03-31,S12000026,Learning Disabilities,All Sectors,125,Scottish Borders,2009/10
2010-03-31,S12000027,Learning Disabilities,All Sectors,0,Shetland Islands,2009/10
2010-03-31,S12000028,Learning Disabilities,All Sectors,87,South Ayrshire,2009/10
2010-03-31,S12000029,Learning Disabilities,All Sectors,143,South Lanarkshire,2009/10
2010-03-31,S12000030,Learning Disabilities,All Sectors,68,Stirling,2009/10
2010-03-31,S12000033,Learning Disabilities,All Sectors,233,Aberdeen City,2009/10
2010-03-31,S12000034,Learning Disabilities,All Sectors,200,Aberdeenshire,2009/10
2010-03-31,S12000035,Learning Disabilities,All Sectors,22,Argyll and Bute,2009/10
2010-03-31,S12000036,Learning Disabilities,All Sectors,194,City of Edinburgh,2009/10
2010-03-31,S12000038,Learning Disabilities,All Sectors,82,Renfrewshire,2009/10
2010-03-31,S12000039,Learning Disabilities,All Sectors,10,West Dunbartonshire,2009/10
2010-03-31,S12000040,Learning Disabilities,All Sectors,91,West Lothian,2009/10
2010-03-31,S12000041,Learning Disabilities,All Sectors,117,Angus,2009/10
2010-03-31,S12000042,Learning Disabilities,All Sectors,133,Dundee City,2009/10
2010-03-31,S12000045,Learning Disabilities,All Sectors,16,East Dunbartonshire,2009/10
2010-03-31,S12000047,Learning Disabilities,All Sectors,48,Fife,2009/10
2010-03-31,S12000048,Learning Disabilities,All Sectors,96,Perth and Kinross,2009/10
2010-03-31,S12000049,Learning Disabilities,All Sectors,114,Glasgow City,2009/10
2010-03-31,S12000050,Learning Disabilities,All Sectors,49,North Lanarkshire,2009/10
2010-03-31,S92000003,Learning Disabilities,All Sectors,2573,Scotland,2009/10
2010-03-31,S92000003,Learning Disabilities,Local Authority/Health Board Sectors,287,Scotland,2009/10
2010-03-31,S92000003,Learning Disabilities,Private Sector,970,Scotland,2009/10
2010-03-31,S92000003,Learning Disabilities,Voluntary or Not for Profit Sector,1316,Scotland,2009/10
2010-03-31,S12000005,Mental Health Problems,All Sectors,14,Clackmannanshire,2009/10
2010-03-31,S12000006,Mental Health Problems,All Sectors,85,Dumfries and Galloway,2009/10
2010-03-31,S12000008,Mental Health Problems,All Sectors,25,East Ayrshire,2009/10
2010-03-31,S12000010,Mental Health Problems,All Sectors,0,East Lothian,2009/10
2010-03-31,S12000011,Mental Health Problems,All Sectors,0,East Renfrewshire,2009/10
2010-03-31,S12000013,Mental Health Problems,All Sectors,0,Na h-Eileanan Siar,2009/10
2010-03-31,S12000014,Mental Health Problems,All Sectors,48,Falkirk,2009/10
2010-03-31,S12000017,Mental Health Problems,All Sectors,109,Highland,2009/10
2010-03-31,S12000018,Mental Health Problems,All Sectors,9,Inverclyde,2009/10
2010-03-31,S12000019,Mental Health Problems,All Sectors,0,Midlothian,2009/10
2010-03-31,S12000020,Mental Health Problems,All Sectors,20,Moray,2009/10
2010-03-31,S12000021,Mental Health Problems,All Sectors,8,North Ayrshire,2009/10
2010-03-31,S12000023,Mental Health Problems,All Sectors,0,Orkney Islands,2009/10
2010-03-31,S12000026,Mental Health Problems,All Sectors,0,Scottish Borders,2009/10
2010-03-31,S12000027,Mental Health Problems,All Sectors,0,Shetland Islands,2009/10
2010-03-31,S12000028,Mental Health Problems,All Sectors,0,South Ayrshire,2009/10
2010-03-31,S12000029,Mental Health Problems,All Sectors,6,South Lanarkshire,2009/10
2010-03-31,S12000030,Mental Health Problems,All Sectors,64,Stirling,2009/10
2010-03-31,S12000033,Mental Health Problems,All Sectors,125,Aberdeen City,2009/10
2010-03-31,S12000034,Mental Health Problems,All Sectors,12,Aberdeenshire,2009/10
2010-03-31,S12000035,Mental Health Problems,All Sectors,0,Argyll and Bute,2009/10
2010-03-31,S12000036,Mental Health Problems,All Sectors,94,City of Edinburgh,2009/10
2010-03-31,S12000038,Mental Health Problems,All Sectors,60,Renfrewshire,2009/10
2010-03-31,S12000039,Mental Health Problems,All Sectors,0,West Dunbartonshire,2009/10
2010-03-31,S12000040,Mental Health Problems,All Sectors,0,West Lothian,2009/10
2010-03-31,S12000041,Mental Health Problems,All Sectors,0,Angus,2009/10
2010-03-31,S12000042,Mental Health Problems,All Sectors,0,Dundee City,2009/10
2010-03-31,S12000045,Mental Health Problems,All Sectors,28,East Dunbartonshire,2009/10
2010-03-31,S12000047,Mental Health Problems,All Sectors,72,Fife,2009/10
2010-03-31,S12000048,Mental Health Problems,All Sectors,0,Perth and Kinross,2009/10
2010-03-31,S12000049,Mental Health Problems,All Sectors,305,Glasgow City,2009/10
2010-03-31,S12000050,Mental Health Problems,All Sectors,98,North Lanarkshire,2009/10
2010-03-31,S92000003,Mental Health Problems,All Sectors,1182,Scotland,2009/10
2010-03-31,S92000003,Mental Health Problems,Local Authority/Health Board Sectors,57,Scotland,2009/10
2010-03-31,S92000003,Mental Health Problems,Private Sector,434,Scotland,2009/10
2010-03-31,S92000003,Mental Health Problems,Voluntary or Not for Profit Sector,691,Scotland,2009/10
2010-03-31,S12000005,Older People Aged 65 and Older,All Sectors,222,Clackmannanshire,2009/10
2010-03-31,S12000005,Older People Aged 65 and Older,Local Authority/Health Board Sectors,52,Clackmannanshire,2009/10
2010-03-31,S12000005,Older People Aged 65 and Older,Private Sector,170,Clackmannanshire,2009/10
2010-03-31,S12000005,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,Clackmannanshire,2009/10
2010-03-31,S12000006,Older People Aged 65 and Older,All Sectors,1202,Dumfries and Galloway,2009/10
2010-03-31,S12000006,Older People Aged 65 and Older,Local Authority/Health Board Sectors,0,Dumfries and Galloway,2009/10
2010-03-31,S12000006,Older People Aged 65 and Older,Private Sector,898,Dumfries and Galloway,2009/10
2010-03-31,S12000006,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,304,Dumfries and Galloway,2009/10
2010-03-31,S12000008,Older People Aged 65 and Older,All Sectors,933,East Ayrshire,2009/10
2010-03-31,S12000008,Older People Aged 65 and Older,Local Authority/Health Board Sectors,10,East Ayrshire,2009/10
2010-03-31,S12000008,Older People Aged 65 and Older,Private Sector,923,East Ayrshire,2009/10
2010-03-31,S12000008,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,East Ayrshire,2009/10
2010-03-31,S12000010,Older People Aged 65 and Older,All Sectors,658,East Lothian,2009/10
2010-03-31,S12000010,Older People Aged 65 and Older,Local Authority/Health Board Sectors,155,East Lothian,2009/10
2010-03-31,S12000010,Older People Aged 65 and Older,Private Sector,445,East Lothian,2009/10
2010-03-31,S12000010,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,58,East Lothian,2009/10
2010-03-31,S12000011,Older People Aged 65 and Older,All Sectors,626,East Renfrewshire,2009/10
2010-03-31,S12000011,Older People Aged 65 and Older,Local Authority/Health Board Sectors,34,East Renfrewshire,2009/10
2010-03-31,S12000011,Older People Aged 65 and Older,Private Sector,397,East Renfrewshire,2009/10
2010-03-31,S12000011,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,195,East Renfrewshire,2009/10
2010-03-31,S12000013,Older People Aged 65 and Older,All Sectors,216,Na h-Eileanan Siar,2009/10
2010-03-31,S12000013,Older People Aged 65 and Older,Local Authority/Health Board Sectors,137,Na h-Eileanan Siar,2009/10
2010-03-31,S12000013,Older People Aged 65 and Older,Private Sector,40,Na h-Eileanan Siar,2009/10
2010-03-31,S12000013,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,39,Na h-Eileanan Siar,2009/10
2010-03-31,S12000014,Older People Aged 65 and Older,All Sectors,987,Falkirk,2009/10
2010-03-31,S12000014,Older People Aged 65 and Older,Local Authority/Health Board Sectors,144,Falkirk,2009/10
2010-03-31,S12000014,Older People Aged 65 and Older,Private Sector,794,Falkirk,2009/10
2010-03-31,S12000014,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,49,Falkirk,2009/10
2010-03-31,S12000017,Older People Aged 65 and Older,All Sectors,1902,Highland,2009/10
2010-03-31,S12000017,Older People Aged 65 and Older,Local Authority/Health Board Sectors,289,Highland,2009/10
2010-03-31,S12000017,Older People Aged 65 and Older,Private Sector,1436,Highland,2009/10
2010-03-31,S12000017,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,177,Highland,2009/10
2010-03-31,S12000018,Older People Aged 65 and Older,All Sectors,784,Inverclyde,2009/10
2010-03-31,S12000018,Older People Aged 65 and Older,Local Authority/Health Board Sectors,3,Inverclyde,2009/10
2010-03-31,S12000018,Older People Aged 65 and Older,Private Sector,577,Inverclyde,2009/10
2010-03-31,S12000018,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,204,Inverclyde,2009/10
2010-03-31,S12000019,Older People Aged 65 and Older,All Sectors,589,Midlothian,2009/10
2010-03-31,S12000019,Older People Aged 65 and Older,Local Authority/Health Board Sectors,146,Midlothian,2009/10
2010-03-31,S12000019,Older People Aged 65 and Older,Private Sector,397,Midlothian,2009/10
2010-03-31,S12000019,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,46,Midlothian,2009/10
2010-03-31,S12000020,Older People Aged 65 and Older,All Sectors,570,Moray,2009/10
2010-03-31,S12000020,Older People Aged 65 and Older,Local Authority/Health Board Sectors,0,Moray,2009/10
2010-03-31,S12000020,Older People Aged 65 and Older,Private Sector,514,Moray,2009/10
2010-03-31,S12000020,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,56,Moray,2009/10
2010-03-31,S12000021,Older People Aged 65 and Older,All Sectors,1144,North Ayrshire,2009/10
2010-03-31,S12000021,Older People Aged 65 and Older,Local Authority/Health Board Sectors,73,North Ayrshire,2009/10
2010-03-31,S12000021,Older People Aged 65 and Older,Private Sector,968,North Ayrshire,2009/10
2010-03-31,S12000021,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,103,North Ayrshire,2009/10
2010-03-31,S12000023,Older People Aged 65 and Older,All Sectors,131,Orkney Islands,2009/10
2010-03-31,S12000023,Older People Aged 65 and Older,Local Authority/Health Board Sectors,115,Orkney Islands,2009/10
2010-03-31,S12000023,Older People Aged 65 and Older,Private Sector,16,Orkney Islands,2009/10
2010-03-31,S12000023,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,Orkney Islands,2009/10
2010-03-31,S12000026,Older People Aged 65 and Older,All Sectors,750,Scottish Borders,2009/10
2010-03-31,S12000026,Older People Aged 65 and Older,Local Authority/Health Board Sectors,203,Scottish Borders,2009/10
2010-03-31,S12000026,Older People Aged 65 and Older,Private Sector,473,Scottish Borders,2009/10
2010-03-31,S12000026,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,74,Scottish Borders,2009/10
2010-03-31,S12000027,Older People Aged 65 and Older,All Sectors,154,Shetland Islands,2009/10
2010-03-31,S12000027,Older People Aged 65 and Older,Local Authority/Health Board Sectors,138,Shetland Islands,2009/10
2010-03-31,S12000027,Older People Aged 65 and Older,Private Sector,0,Shetland Islands,2009/10
2010-03-31,S12000027,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,16,Shetland Islands,2009/10
2010-03-31,S12000028,Older People Aged 65 and Older,All Sectors,956,South Ayrshire,2009/10
2010-03-31,S12000028,Older People Aged 65 and Older,Local Authority/Health Board Sectors,54,South Ayrshire,2009/10
2010-03-31,S12000028,Older People Aged 65 and Older,Private Sector,805,South Ayrshire,2009/10
2010-03-31,S12000028,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,97,South Ayrshire,2009/10
2010-03-31,S12000029,Older People Aged 65 and Older,All Sectors,2896,South Lanarkshire,2009/10
2010-03-31,S12000029,Older People Aged 65 and Older,Local Authority/Health Board Sectors,326,South Lanarkshire,2009/10
2010-03-31,S12000029,Older People Aged 65 and Older,Private Sector,2164,South Lanarkshire,2009/10
2010-03-31,S12000029,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,406,South Lanarkshire,2009/10
2010-03-31,S12000030,Older People Aged 65 and Older,All Sectors,633,Stirling,2009/10
2010-03-31,S12000030,Older People Aged 65 and Older,Local Authority/Health Board Sectors,67,Stirling,2009/10
2010-03-31,S12000030,Older People Aged 65 and Older,Private Sector,520,Stirling,2009/10
2010-03-31,S12000030,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,46,Stirling,2009/10
2010-03-31,S12000033,Older People Aged 65 and Older,All Sectors,1709,Aberdeen City,2009/10
2010-03-31,S12000033,Older People Aged 65 and Older,Local Authority/Health Board Sectors,205,Aberdeen City,2009/10
2010-03-31,S12000033,Older People Aged 65 and Older,Private Sector,1276,Aberdeen City,2009/10
2010-03-31,S12000033,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,228,Aberdeen City,2009/10
2010-03-31,S12000034,Older People Aged 65 and Older,All Sectors,1865,Aberdeenshire,2009/10
2010-03-31,S12000034,Older People Aged 65 and Older,Local Authority/Health Board Sectors,279,Aberdeenshire,2009/10
2010-03-31,S12000034,Older People Aged 65 and Older,Private Sector,1420,Aberdeenshire,2009/10
2010-03-31,S12000034,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,166,Aberdeenshire,2009/10
2010-03-31,S12000035,Older People Aged 65 and Older,All Sectors,603,Argyll and Bute,2009/10
2010-03-31,S12000035,Older People Aged 65 and Older,Local Authority/Health Board Sectors,102,Argyll and Bute,2009/10
2010-03-31,S12000035,Older People Aged 65 and Older,Private Sector,422,Argyll and Bute,2009/10
2010-03-31,S12000035,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,79,Argyll and Bute,2009/10
2010-03-31,S12000036,Older People Aged 65 and Older,All Sectors,3115,City of Edinburgh,2009/10
2010-03-31,S12000036,Older People Aged 65 and Older,Local Authority/Health Board Sectors,552,City of Edinburgh,2009/10
2010-03-31,S12000036,Older People Aged 65 and Older,Private Sector,1885,City of Edinburgh,2009/10
2010-03-31,S12000036,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,678,City of Edinburgh,2009/10
2010-03-31,S12000038,Older People Aged 65 and Older,All Sectors,1374,Renfrewshire,2009/10
2010-03-31,S12000038,Older People Aged 65 and Older,Local Authority/Health Board Sectors,210,Renfrewshire,2009/10
2010-03-31,S12000038,Older People Aged 65 and Older,Private Sector,914,Renfrewshire,2009/10
2010-03-31,S12000038,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,250,Renfrewshire,2009/10
2010-03-31,S12000039,Older People Aged 65 and Older,All Sectors,610,West Dunbartonshire,2009/10
2010-03-31,S12000039,Older People Aged 65 and Older,Local Authority/Health Board Sectors,196,West Dunbartonshire,2009/10
2010-03-31,S12000039,Older People Aged 65 and Older,Private Sector,414,West Dunbartonshire,2009/10
2010-03-31,S12000039,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,West Dunbartonshire,2009/10
2010-03-31,S12000040,Older People Aged 65 and Older,All Sectors,870,West Lothian,2009/10
2010-03-31,S12000040,Older People Aged 65 and Older,Local Authority/Health Board Sectors,141,West Lothian,2009/10
2010-03-31,S12000040,Older People Aged 65 and Older,Private Sector,703,West Lothian,2009/10
2010-03-31,S12000040,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,26,West Lothian,2009/10
2010-03-31,S12000041,Older People Aged 65 and Older,All Sectors,1112,Angus,2009/10
2010-03-31,S12000041,Older People Aged 65 and Older,Local Authority/Health Board Sectors,106,Angus,2009/10
2010-03-31,S12000041,Older People Aged 65 and Older,Private Sector,966,Angus,2009/10
2010-03-31,S12000041,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,40,Angus,2009/10
