financial_year,council_area,sector,main_client_group,number_of_places
2009/10,Argyll and Bute,Private Sector,Older People Aged 65 and Older,422
2009/10,Argyll and Bute,Voluntary or Not for Profit Sector,All Adults,123
2009/10,Argyll and Bute,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,79
2009/10,City of Edinburgh,All Sectors,All Adults,3467
2009/10,City of Edinburgh,All Sectors,Learning Disabilities,194
2009/10,City of Edinburgh,All Sectors,Mental Health Problems,94
2009/10,City of Edinburgh,All Sectors,Older People Aged 65 and Older,3115
2009/10,City of Edinburgh,All Sectors,Other Groups,20
2009/10,City of Edinburgh,All Sectors,Physical and Sensory Impairment,44
2009/10,City of Edinburgh,Local Authority/Health Board Sectors,All Adults,607
2009/10,City of Edinburgh,Local Authority/Health Board Sectors,Older People Aged 65 and Older,552
2009/10,City of Edinburgh,Private Sector,All Adults,1926
2009/10,City of Edinburgh,Private Sector,Older People Aged 65 and Older,1885
2009/10,City of Edinburgh,Voluntary or Not for Profit Sector,All Adults,934
2009/10,City of Edinburgh,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,678
2009/10,Clackmannanshire,All Sectors,All Adults,310
2009/10,Clackmannanshire,All Sectors,Learning Disabilities,74
2009/10,Clackmannanshire,All Sectors,Mental Health Problems,14
2009/10,Clackmannanshire,All Sectors,Older People Aged 65 and Older,222
2009/10,Clackmannanshire,All Sectors,Other Groups,0
2009/10,Clackmannanshire,All Sectors,Physical and Sensory Impairment,0
2009/10,Clackmannanshire,Local Authority/Health Board Sectors,All Adults,52
2009/10,Clackmannanshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,52
2009/10,Clackmannanshire,Private Sector,All Adults,206
2009/10,Clackmannanshire,Private Sector,Older People Aged 65 and Older,170
2009/10,Clackmannanshire,Voluntary or Not for Profit Sector,All Adults,52
2009/10,Clackmannanshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2009/10,Dumfries and Galloway,All Sectors,All Adults,1379
2009/10,Dumfries and Galloway,All Sectors,Learning Disabilities,82
2009/10,Dumfries and Galloway,All Sectors,Mental Health Problems,85
2009/10,Dumfries and Galloway,All Sectors,Older People Aged 65 and Older,1202
2009/10,Dumfries and Galloway,All Sectors,Other Groups,5
2009/10,Dumfries and Galloway,All Sectors,Physical and Sensory Impairment,5
2009/10,Dumfries and Galloway,Local Authority/Health Board Sectors,All Adults,15
2009/10,Dumfries and Galloway,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2009/10,Dumfries and Galloway,Private Sector,All Adults,927
2009/10,Dumfries and Galloway,Private Sector,Older People Aged 65 and Older,898
2009/10,Dumfries and Galloway,Voluntary or Not for Profit Sector,All Adults,437
2009/10,Dumfries and Galloway,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,304
2009/10,Dundee City,All Sectors,All Adults,1251
2009/10,Dundee City,All Sectors,Learning Disabilities,133
2009/10,Dundee City,All Sectors,Mental Health Problems,0
2009/10,Dundee City,All Sectors,Older People Aged 65 and Older,1094
2009/10,Dundee City,All Sectors,Other Groups,0
2009/10,Dundee City,All Sectors,Physical and Sensory Impairment,24
2009/10,Dundee City,Local Authority/Health Board Sectors,All Adults,157
2009/10,Dundee City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,132
2009/10,Dundee City,Private Sector,All Adults,1005
2009/10,Dundee City,Private Sector,Older People Aged 65 and Older,876
2009/10,Dundee City,Voluntary or Not for Profit Sector,All Adults,89
2009/10,Dundee City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,86
2009/10,East Ayrshire,All Sectors,All Adults,1028
2009/10,East Ayrshire,All Sectors,Learning Disabilities,60
2009/10,East Ayrshire,All Sectors,Mental Health Problems,25
2009/10,East Ayrshire,All Sectors,Older People Aged 65 and Older,933
2009/10,East Ayrshire,All Sectors,Other Groups,0
2009/10,East Ayrshire,All Sectors,Physical and Sensory Impairment,10
2009/10,East Ayrshire,Local Authority/Health Board Sectors,All Adults,20
2009/10,East Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,10
2009/10,East Ayrshire,Private Sector,All Adults,1008
2009/10,East Ayrshire,Private Sector,Older People Aged 65 and Older,923
2009/10,East Ayrshire,Voluntary or Not for Profit Sector,All Adults,0
2009/10,East Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2009/10,East Dunbartonshire,All Sectors,All Adults,607
2009/10,East Dunbartonshire,All Sectors,Learning Disabilities,16
2009/10,East Dunbartonshire,All Sectors,Mental Health Problems,28
2009/10,East Dunbartonshire,All Sectors,Older People Aged 65 and Older,563
2009/10,East Dunbartonshire,All Sectors,Other Groups,0
2009/10,East Dunbartonshire,All Sectors,Physical and Sensory Impairment,0
2009/10,East Dunbartonshire,Local Authority/Health Board Sectors,All Adults,11
2009/10,East Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2009/10,East Dunbartonshire,Private Sector,All Adults,583
2009/10,East Dunbartonshire,Private Sector,Older People Aged 65 and Older,561
2009/10,East Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,13
2009/10,East Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,2
2009/10,East Lothian,All Sectors,All Adults,692
2009/10,East Lothian,All Sectors,Learning Disabilities,14
2009/10,East Lothian,All Sectors,Mental Health Problems,0
2009/10,East Lothian,All Sectors,Older People Aged 65 and Older,658
2009/10,East Lothian,All Sectors,Other Groups,0
2009/10,East Lothian,All Sectors,Physical and Sensory Impairment,20
2009/10,East Lothian,Local Authority/Health Board Sectors,All Adults,155
2009/10,East Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,155
2009/10,East Lothian,Private Sector,All Adults,472
2009/10,East Lothian,Private Sector,Older People Aged 65 and Older,445
2009/10,East Lothian,Voluntary or Not for Profit Sector,All Adults,65
2009/10,East Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,58
2009/10,East Renfrewshire,All Sectors,All Adults,636
2009/10,East Renfrewshire,All Sectors,Learning Disabilities,10
2009/10,East Renfrewshire,All Sectors,Mental Health Problems,0
2009/10,East Renfrewshire,All Sectors,Older People Aged 65 and Older,626
2009/10,East Renfrewshire,All Sectors,Other Groups,0
2009/10,East Renfrewshire,All Sectors,Physical and Sensory Impairment,0
2009/10,East Renfrewshire,Local Authority/Health Board Sectors,All Adults,34
2009/10,East Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,34
2009/10,East Renfrewshire,Private Sector,All Adults,397
2009/10,East Renfrewshire,Private Sector,Older People Aged 65 and Older,397
2009/10,East Renfrewshire,Voluntary or Not for Profit Sector,All Adults,205
2009/10,East Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,195
2009/10,Falkirk,All Sectors,All Adults,1141
2009/10,Falkirk,All Sectors,Learning Disabilities,106
2009/10,Falkirk,All Sectors,Mental Health Problems,48
2009/10,Falkirk,All Sectors,Older People Aged 65 and Older,987
2009/10,Falkirk,All Sectors,Other Groups,0
2009/10,Falkirk,All Sectors,Physical and Sensory Impairment,0
2009/10,Falkirk,Local Authority/Health Board Sectors,All Adults,178
2009/10,Falkirk,Local Authority/Health Board Sectors,Older People Aged 65 and Older,144
2009/10,Falkirk,Private Sector,All Adults,888
2009/10,Falkirk,Private Sector,Older People Aged 65 and Older,794
2009/10,Falkirk,Voluntary or Not for Profit Sector,All Adults,75
2009/10,Falkirk,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,49
2009/10,Fife,All Sectors,All Adults,3013
2009/10,Fife,All Sectors,Learning Disabilities,48
2009/10,Fife,All Sectors,Mental Health Problems,72
2009/10,Fife,All Sectors,Older People Aged 65 and Older,2862
2009/10,Fife,All Sectors,Other Groups,14
2009/10,Fife,All Sectors,Physical and Sensory Impairment,17
2009/10,Fife,Local Authority/Health Board Sectors,All Adults,368
2009/10,Fife,Local Authority/Health Board Sectors,Older People Aged 65 and Older,354
2009/10,Fife,Private Sector,All Adults,2463
2009/10,Fife,Private Sector,Older People Aged 65 and Older,2383
2009/10,Fife,Voluntary or Not for Profit Sector,All Adults,182
2009/10,Fife,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,125
2009/10,Glasgow City,All Sectors,All Adults,5009
2009/10,Glasgow City,All Sectors,Learning Disabilities,114
2009/10,Glasgow City,All Sectors,Mental Health Problems,305
2009/10,Glasgow City,All Sectors,Older People Aged 65 and Older,4332
2009/10,Glasgow City,All Sectors,Other Groups,187
2009/10,Glasgow City,All Sectors,Physical and Sensory Impairment,71
2009/10,Glasgow City,Local Authority/Health Board Sectors,All Adults,623
2009/10,Glasgow City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,609
2009/10,Glasgow City,Private Sector,All Adults,3350
2009/10,Glasgow City,Private Sector,Older People Aged 65 and Older,3318
2009/10,Glasgow City,Voluntary or Not for Profit Sector,All Adults,1036
2009/10,Glasgow City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,405
2009/10,Highland,All Sectors,All Adults,2224
2009/10,Highland,All Sectors,Learning Disabilities,112
2009/10,Highland,All Sectors,Mental Health Problems,109
2009/10,Highland,All Sectors,Older People Aged 65 and Older,1902
2009/10,Highland,All Sectors,Other Groups,27
2009/10,Highland,All Sectors,Physical and Sensory Impairment,74
2009/10,Highland,Local Authority/Health Board Sectors,All Adults,305
2009/10,Highland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,289
2009/10,Highland,Private Sector,All Adults,1648
2009/10,Highland,Private Sector,Older People Aged 65 and Older,1436
2009/10,Highland,Voluntary or Not for Profit Sector,All Adults,271
2009/10,Highland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,177
2009/10,Inverclyde,All Sectors,All Adults,904
2009/10,Inverclyde,All Sectors,Learning Disabilities,38
2009/10,Inverclyde,All Sectors,Mental Health Problems,9
2009/10,Inverclyde,All Sectors,Older People Aged 65 and Older,784
2009/10,Inverclyde,All Sectors,Other Groups,0
2009/10,Inverclyde,All Sectors,Physical and Sensory Impairment,73
2009/10,Inverclyde,Local Authority/Health Board Sectors,All Adults,3
2009/10,Inverclyde,Local Authority/Health Board Sectors,Older People Aged 65 and Older,3
2009/10,Inverclyde,Private Sector,All Adults,577
2009/10,Inverclyde,Private Sector,Older People Aged 65 and Older,577
2009/10,Inverclyde,Voluntary or Not for Profit Sector,All Adults,324
2009/10,Inverclyde,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,204
2009/10,Midlothian,All Sectors,All Adults,672
2009/10,Midlothian,All Sectors,Learning Disabilities,83
2009/10,Midlothian,All Sectors,Mental Health Problems,0
2009/10,Midlothian,All Sectors,Older People Aged 65 and Older,589
2009/10,Midlothian,All Sectors,Other Groups,0
2009/10,Midlothian,All Sectors,Physical and Sensory Impairment,0
2009/10,Midlothian,Local Authority/Health Board Sectors,All Adults,146
2009/10,Midlothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,146
2009/10,Midlothian,Private Sector,All Adults,405
2009/10,Midlothian,Private Sector,Older People Aged 65 and Older,397
2009/10,Midlothian,Voluntary or Not for Profit Sector,All Adults,121
2009/10,Midlothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,46
2009/10,Moray,All Sectors,All Adults,641
2009/10,Moray,All Sectors,Learning Disabilities,47
2009/10,Moray,All Sectors,Mental Health Problems,20
2009/10,Moray,All Sectors,Older People Aged 65 and Older,570
2009/10,Moray,All Sectors,Other Groups,0
2009/10,Moray,All Sectors,Physical and Sensory Impairment,4
2009/10,Moray,Local Authority/Health Board Sectors,All Adults,6
2009/10,Moray,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2009/10,Moray,Private Sector,All Adults,518
2009/10,Moray,Private Sector,Older People Aged 65 and Older,514
2009/10,Moray,Voluntary or Not for Profit Sector,All Adults,117
2009/10,Moray,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,56
2009/10,Na h-Eileanan Siar,All Sectors,All Adults,227
2009/10,Na h-Eileanan Siar,All Sectors,Learning Disabilities,11
2009/10,Na h-Eileanan Siar,All Sectors,Mental Health Problems,0
2009/10,Na h-Eileanan Siar,All Sectors,Older People Aged 65 and Older,216
2009/10,Na h-Eileanan Siar,All Sectors,Other Groups,0
2009/10,Na h-Eileanan Siar,All Sectors,Physical and Sensory Impairment,0
2009/10,Na h-Eileanan Siar,Local Authority/Health Board Sectors,All Adults,148
2009/10,Na h-Eileanan Siar,Local Authority/Health Board Sectors,Older People Aged 65 and Older,137
2009/10,Na h-Eileanan Siar,Private Sector,All Adults,40
2009/10,Na h-Eileanan Siar,Private Sector,Older People Aged 65 and Older,40
2009/10,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,All Adults,39
2009/10,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,39
2009/10,North Ayrshire,All Sectors,All Adults,1295
2009/10,North Ayrshire,All Sectors,Learning Disabilities,101
2009/10,North Ayrshire,All Sectors,Mental Health Problems,8
2009/10,North Ayrshire,All Sectors,Older People Aged 65 and Older,1144
2009/10,North Ayrshire,All Sectors,Other Groups,6
2009/10,North Ayrshire,All Sectors,Physical and Sensory Impairment,36
2009/10,North Ayrshire,Local Authority/Health Board Sectors,All Adults,73
2009/10,North Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,73
2009/10,North Ayrshire,Private Sector,All Adults,1065
2009/10,North Ayrshire,Private Sector,Older People Aged 65 and Older,968
2009/10,North Ayrshire,Voluntary or Not for Profit Sector,All Adults,157
2009/10,North Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,103
2009/10,North Lanarkshire,All Sectors,All Adults,2267
2009/10,North Lanarkshire,All Sectors,Learning Disabilities,49
2009/10,North Lanarkshire,All Sectors,Mental Health Problems,98
2009/10,North Lanarkshire,All Sectors,Older People Aged 65 and Older,2120
2009/10,North Lanarkshire,All Sectors,Other Groups,0
2009/10,North Lanarkshire,All Sectors,Physical and Sensory Impairment,0
2009/10,North Lanarkshire,Local Authority/Health Board Sectors,All Adults,260
2009/10,North Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,260
2009/10,North Lanarkshire,Private Sector,All Adults,1958
2009/10,North Lanarkshire,Private Sector,Older People Aged 65 and Older,1860
2009/10,North Lanarkshire,Voluntary or Not for Profit Sector,All Adults,49
2009/10,North Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2009/10,Orkney Islands,All Sectors,All Adults,140
2009/10,Orkney Islands,All Sectors,Learning Disabilities,7
2009/10,Orkney Islands,All Sectors,Mental Health Problems,0
2009/10,Orkney Islands,All Sectors,Older People Aged 65 and Older,131
2009/10,Orkney Islands,All Sectors,Other Groups,1
2009/10,Orkney Islands,All Sectors,Physical and Sensory Impairment,1
2009/10,Orkney Islands,Local Authority/Health Board Sectors,All Adults,119
2009/10,Orkney Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,115
2009/10,Orkney Islands,Private Sector,All Adults,16
2009/10,Orkney Islands,Private Sector,Older People Aged 65 and Older,16
2009/10,Orkney Islands,Voluntary or Not for Profit Sector,All Adults,5
2009/10,Orkney Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2009/10,Perth and Kinross,All Sectors,All Adults,1761
2009/10,Perth and Kinross,All Sectors,Learning Disabilities,96
2009/10,Perth and Kinross,All Sectors,Mental Health Problems,0
2009/10,Perth and Kinross,All Sectors,Older People Aged 65 and Older,1568
2009/10,Perth and Kinross,All Sectors,Other Groups,1
2009/10,Perth and Kinross,All Sectors,Physical and Sensory Impairment,96
2009/10,Perth and Kinross,Local Authority/Health Board Sectors,All Adults,124
2009/10,Perth and Kinross,Local Authority/Health Board Sectors,Older People Aged 65 and Older,120
2009/10,Perth and Kinross,Private Sector,All Adults,1278
2009/10,Perth and Kinross,Private Sector,Older People Aged 65 and Older,1224
2009/10,Perth and Kinross,Voluntary or Not for Profit Sector,All Adults,359
2009/10,Perth and Kinross,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,224
2009/10,Renfrewshire,All Sectors,All Adults,1536
2009/10,Renfrewshire,All Sectors,Learning Disabilities,82
2009/10,Renfrewshire,All Sectors,Mental Health Problems,60
2009/10,Renfrewshire,All Sectors,Older People Aged 65 and Older,1374
2009/10,Renfrewshire,All Sectors,Other Groups,0
2009/10,Renfrewshire,All Sectors,Physical and Sensory Impairment,20
2009/10,Renfrewshire,Local Authority/Health Board Sectors,All Adults,220
2009/10,Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,210
2009/10,Renfrewshire,Private Sector,All Adults,1036
2009/10,Renfrewshire,Private Sector,Older People Aged 65 and Older,914
2009/10,Renfrewshire,Voluntary or Not for Profit Sector,All Adults,280
2009/10,Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,250
2009/10,Scotland,All Sectors,All Adults,43887
2009/10,Scotland,All Sectors,Learning Disabilities,2573
2009/10,Scotland,All Sectors,Mental Health Problems,1182
2009/10,Scotland,All Sectors,Older People Aged 65 and Older,39150
2009/10,Scotland,All Sectors,Other Groups,361
2009/10,Scotland,All Sectors,Physical and Sensory Impairment,621
2009/10,Scotland,Local Authority/Health Board Sectors,All Adults,5598
2009/10,Scotland,Local Authority/Health Board Sectors,Learning Disabilities,287
2009/10,Scotland,Local Authority/Health Board Sectors,Mental Health Problems,57
2009/10,Scotland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,5212
2009/10,Scotland,Local Authority/Health Board Sectors,Other Groups,15
2009/10,Scotland,Local Authority/Health Board Sectors,Physical and Sensory Impairment,27
2009/10,Scotland,Private Sector,All Adults,31300
2009/10,Scotland,Private Sector,Learning Disabilities,970
2009/10,Scotland,Private Sector,Mental Health Problems,434
2009/10,Scotland,Private Sector,Older People Aged 65 and Older,29759
2009/10,Scotland,Private Sector,Other Groups,7
2009/10,Scotland,Private Sector,Physical and Sensory Impairment,130
2009/10,Scotland,Voluntary or Not for Profit Sector,All Adults,6989
2009/10,Scotland,Voluntary or Not for Profit Sector,Learning Disabilities,1316
2009/10,Scotland,Voluntary or Not for Profit Sector,Mental Health Problems,691
2009/10,Scotland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,4179
2009/10,Scotland,Voluntary or Not for Profit Sector,Other Groups,339
2009/10,Scotland,Voluntary or Not for Profit Sector,Physical and Sensory Impairment,464
2009/10,Scottish Borders,All Sectors,All Adults,875
2009/10,Scottish Borders,All Sectors,Learning Disabilities,125
2009/10,Scottish Borders,All Sectors,Mental Health Problems,0
2009/10,Scottish Borders,All Sectors,Older People Aged 65 and Older,750
2009/10,Scottish Borders,All Sectors,Other Groups,0
2009/10,Scottish Borders,All Sectors,Physical and Sensory Impairment,0
2009/10,Scottish Borders,Local Authority/Health Board Sectors,All Adults,203
2009/10,Scottish Borders,Local Authority/Health Board Sectors,Older People Aged 65 and Older,203
2009/10,Scottish Borders,Private Sector,All Adults,479
2009/10,Scottish Borders,Private Sector,Older People Aged 65 and Older,473
2009/10,Scottish Borders,Voluntary or Not for Profit Sector,All Adults,193
2009/10,Scottish Borders,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,74
2009/10,Shetland Islands,All Sectors,All Adults,154
2009/10,Shetland Islands,All Sectors,Learning Disabilities,0
2009/10,Shetland Islands,All Sectors,Mental Health Problems,0
2009/10,Shetland Islands,All Sectors,Older People Aged 65 and Older,154
2009/10,Shetland Islands,All Sectors,Other Groups,0
2009/10,Shetland Islands,All Sectors,Physical and Sensory Impairment,0
2009/10,Shetland Islands,Local Authority/Health Board Sectors,All Adults,138
2009/10,Shetland Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,138
2009/10,Shetland Islands,Private Sector,All Adults,0
2009/10,Shetland Islands,Private Sector,Older People Aged 65 and Older,0
2009/10,Shetland Islands,Voluntary or Not for Profit Sector,All Adults,16
2009/10,Shetland Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,16
2009/10,South Ayrshire,All Sectors,All Adults,1043
2009/10,South Ayrshire,All Sectors,Learning Disabilities,87
2009/10,South Ayrshire,All Sectors,Mental Health Problems,0
2009/10,South Ayrshire,All Sectors,Older People Aged 65 and Older,956
2009/10,South Ayrshire,All Sectors,Other Groups,0
2009/10,South Ayrshire,All Sectors,Physical and Sensory Impairment,0
2009/10,South Ayrshire,Local Authority/Health Board Sectors,All Adults,60
2009/10,South Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,54
2009/10,South Ayrshire,Private Sector,All Adults,829
2009/10,South Ayrshire,Private Sector,Older People Aged 65 and Older,805
2009/10,South Ayrshire,Voluntary or Not for Profit Sector,All Adults,154
2009/10,South Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,97
2009/10,South Lanarkshire,All Sectors,All Adults,3077
2009/10,South Lanarkshire,All Sectors,Learning Disabilities,143
2009/10,South Lanarkshire,All Sectors,Mental Health Problems,6
2009/10,South Lanarkshire,All Sectors,Older People Aged 65 and Older,2896
2009/10,South Lanarkshire,All Sectors,Other Groups,7
2009/10,South Lanarkshire,All Sectors,Physical and Sensory Impairment,25
2009/10,South Lanarkshire,Local Authority/Health Board Sectors,All Adults,326
2009/10,South Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,326
2009/10,South Lanarkshire,Private Sector,All Adults,2255
2009/10,South Lanarkshire,Private Sector,Older People Aged 65 and Older,2164
2009/10,South Lanarkshire,Voluntary or Not for Profit Sector,All Adults,496
2009/10,South Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,406
2009/10,Stirling,All Sectors,All Adults,782
2009/10,Stirling,All Sectors,Learning Disabilities,68
2009/10,Stirling,All Sectors,Mental Health Problems,64
2009/10,Stirling,All Sectors,Older People Aged 65 and Older,633
2009/10,Stirling,All Sectors,Other Groups,0
2009/10,Stirling,All Sectors,Physical and Sensory Impairment,17
2009/10,Stirling,Local Authority/Health Board Sectors,All Adults,67
2009/10,Stirling,Local Authority/Health Board Sectors,Older People Aged 65 and Older,67
2009/10,Stirling,Private Sector,All Adults,588
2009/10,Stirling,Private Sector,Older People Aged 65 and Older,520
2009/10,Stirling,Voluntary or Not for Profit Sector,All Adults,127
2009/10,Stirling,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,46
2009/10,West Dunbartonshire,All Sectors,All Adults,620
2009/10,West Dunbartonshire,All Sectors,Learning Disabilities,10
2009/10,West Dunbartonshire,All Sectors,Mental Health Problems,0
2009/10,West Dunbartonshire,All Sectors,Older People Aged 65 and Older,610
2009/10,West Dunbartonshire,All Sectors,Other Groups,0
2009/10,West Dunbartonshire,All Sectors,Physical and Sensory Impairment,0
2009/10,West Dunbartonshire,Local Authority/Health Board Sectors,All Adults,196
2009/10,West Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,196
2009/10,West Dunbartonshire,Private Sector,All Adults,414
2009/10,West Dunbartonshire,Private Sector,Older People Aged 65 and Older,414
2009/10,West Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,10
2009/10,West Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2009/10,West Lothian,All Sectors,All Adults,973
2009/10,West Lothian,All Sectors,Learning Disabilities,91
2009/10,West Lothian,All Sectors,Mental Health Problems,0
2009/10,West Lothian,All Sectors,Older People Aged 65 and Older,870
2009/10,West Lothian,All Sectors,Other Groups,0
2009/10,West Lothian,All Sectors,Physical and Sensory Impairment,12
2009/10,West Lothian,Local Authority/Health Board Sectors,All Adults,154
2009/10,West Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,141
2009/10,West Lothian,Private Sector,All Adults,742
2009/10,West Lothian,Private Sector,Older People Aged 65 and Older,703
2009/10,West Lothian,Voluntary or Not for Profit Sector,All Adults,77
2009/10,West Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,26
2010/11,Aberdeen City,All Sectors,All Adults,2019
2010/11,Aberdeen City,All Sectors,Learning Disabilities,176
2010/11,Aberdeen City,All Sectors,Mental Health Problems,110
2010/11,Aberdeen City,All Sectors,Older People Aged 65 and Older,1622
2010/11,Aberdeen City,All Sectors,Other Groups,49
2010/11,Aberdeen City,All Sectors,Physical and Sensory Impairment,62
2010/11,Aberdeen City,Local Authority/Health Board Sectors,All Adults,162
2010/11,Aberdeen City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,133
2010/11,Aberdeen City,Private Sector,All Adults,1342
2010/11,Aberdeen City,Private Sector,Older People Aged 65 and Older,1281
2010/11,Aberdeen City,Voluntary or Not for Profit Sector,All Adults,515
2010/11,Aberdeen City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,208
2010/11,Aberdeenshire,All Sectors,All Adults,2068
2010/11,Aberdeenshire,All Sectors,Learning Disabilities,196
